data,label
"[array([-80.93423  ,  84.780525 , -31.534628 ,  33.90174  , -19.836761 ,
        23.553934 , -22.136858 ,  20.0265   , -16.764809 ,  19.219479 ,
       -13.098828 ,  11.502167 , -10.718428 ,  10.579796 ,  -8.420744 ,
         7.3195724,  -5.3723483,   7.692515 ,  -5.549921 ,   1.5127794],
      dtype=float32)]",hiphop
"[array([-8.1234909e+01,  4.9593636e+01, -1.4547480e+01,  5.7964966e+01,
        6.8197689e+00,  2.7149471e+01, -6.8581371e+00,  3.1304558e+01,
       -1.0085702e+01,  2.0306627e+01, -2.5411096e+00,  1.2749884e+01,
        3.9834008e+00,  1.3237081e+01, -2.3675618e+00,  1.2267019e+01,
       -7.0323944e+00,  4.7449813e+00,  1.8698170e+00,  2.8270748e-02],
      dtype=float32)]",hiphop
"[array([-202.88803   ,  132.37215   ,   12.0172825 ,   43.746815  ,
        -10.215273  ,   17.121582  ,  -13.547271  ,   15.044368  ,
        -16.248148  ,    9.423361  ,  -11.636703  ,    7.048088  ,
         -4.321259  ,    0.82388294,   -5.6068845 ,    1.2609922 ,
         -6.9671044 ,    0.39286578,   -2.4253883 ,   -2.932968  ],
      dtype=float32)]",hiphop
"[array([-40.30154   ,  80.84724   , -25.67689   ,  38.443054  ,
       -11.072825  ,  24.89941   ,  -7.373214  ,  26.759275  ,
        -5.30603   ,  16.782677  ,  -3.5075712 ,   8.458928  ,
        -5.6017284 ,  12.050404  ,  -1.8917377 ,  10.464018  ,
         0.642753  ,   0.26245174,  -5.0987406 ,  -4.019602  ],
      dtype=float32)]",hiphop
"[array([-140.16278   ,   71.62643   ,   -3.7887418 ,   38.988525  ,
          4.189599  ,   31.528362  ,   -3.9393039 ,   19.742453  ,
         -3.7496216 ,   16.006994  ,   -3.1765268 ,   11.83397   ,
         -1.247125  ,    5.767767  ,    1.2916698 ,    1.6718789 ,
         -0.83026874,    1.6229786 ,   -4.0859265 ,    1.1263291 ],
      dtype=float32)]",hiphop
"[array([-11.706974  ,  81.97666   ,  -8.50863   ,  52.77378   ,
       -14.69211   ,  31.962574  , -19.680723  ,  22.857765  ,
       -14.704154  ,  14.509826  , -10.078541  ,  14.002207  ,
        -8.07207   ,   7.4281483 ,  -5.495323  ,  12.837337  ,
        -3.6954393 ,   6.2187123 ,  -2.584942  ,   0.10216535],
      dtype=float32)]",hiphop
"[array([-59.565926  ,  63.92967   ,   3.4871747 ,  45.23575   ,
        -1.1528624 ,  28.24374   , -13.170861  ,  23.591469  ,
        -6.623231  ,  16.47062   ,  -7.2728996 ,  14.477064  ,
        -5.800775  ,   8.173893  ,  -6.858706  ,   6.7351756 ,
        -4.4826007 ,   0.95316166,  -7.1244917 ,  -1.2569647 ],
      dtype=float32)]",hiphop
"[array([-58.496304  , 103.04962   ,  -7.211679  ,  44.861687  ,
        -8.600805  ,  12.351103  , -13.741838  ,  19.971472  ,
       -13.119663  ,  17.136522  ,  -3.9439182 ,  15.57406   ,
        -0.4531827 ,   6.926793  ,  -6.032184  ,   5.6364055 ,
        -3.1755676 ,   1.8142024 ,  -2.5621526 ,   0.11353252],
      dtype=float32)]",hiphop
"[array([-111.1565   ,   55.170074 ,  -18.427658 ,   47.191257 ,
        -24.79131  ,   22.537811 ,  -21.141804 ,   12.53944  ,
        -15.870398 ,   16.290926 ,  -12.56634  ,    9.6244955,
        -12.129928 ,    4.8603306,   -2.2085428,    6.8882775,
          0.4771722,   12.992372 ,    5.9447727,    5.44095  ],
      dtype=float32)]",hiphop
"[array([-9.4945847e+01,  9.4214798e+01, -2.5425854e+00,  4.9543236e+01,
       -6.6089058e+00,  3.3220383e+01, -7.6315680e+00,  2.0948034e+01,
       -8.8709202e+00,  1.6786116e+01, -5.2582693e+00,  1.0763062e+01,
       -3.4743650e+00,  7.2955852e+00, -3.4523704e+00,  3.8399713e+00,
       -3.2529211e+00,  1.7923428e+00,  7.6545872e-02,  3.9815254e+00],
      dtype=float32)]",hiphop
"[array([-67.46242   ,  94.84827   , -38.84963   ,  37.633415  ,
       -12.246916  ,  36.890293  , -12.640728  ,  18.295763  ,
        -8.845362  ,  17.97754   ,  -7.2741294 ,   9.713927  ,
        -8.736391  ,   4.5039    ,  -7.5942483 ,   0.21276525,
        -4.881601  ,   4.8451633 ,  -1.9947603 ,  -0.7381979 ],
      dtype=float32)]",hiphop
"[array([-74.21385  , 104.603294 ,  -8.389851 ,  49.65144  ,  -9.374009 ,
        21.451525 , -16.336187 ,  18.77991  , -13.071929 ,  18.470474 ,
       -14.949953 ,   6.8847446, -15.329198 ,   4.7792454, -11.102331 ,
         4.739863 ,  -2.8093808,   6.800127 ,  -5.8098483,  -3.7738276],
      dtype=float32)]",hiphop
"[array([-67.06468   , 112.4042    , -23.642937  ,  44.27391   ,
       -18.864435  ,  23.87318   , -13.402471  ,  20.14637   ,
       -10.64462   ,  20.617968  ,  -7.5052667 ,  14.423792  ,
        -9.388905  ,  11.289869  ,  -8.865541  ,   7.08106   ,
         0.44676352,   9.378615  ,  -0.8929118 ,  -0.57676893],
      dtype=float32)]",hiphop
"[array([-129.32367  ,  141.7129   ,  -42.47719  ,   34.013855 ,
         -6.9758534,    8.702186 ,  -11.367335 ,   15.941672 ,
         -9.015237 ,    6.635536 ,   -8.340363 ,    7.5527344,
         -5.472687 ,    5.869146 ,   -3.1564074,   -1.6924474,
         -8.804316 ,   -4.851142 ,   -9.280404 ,    2.128211 ],
      dtype=float32)]",hiphop
"[array([-51.30058   ,  91.1179    , -33.764687  ,  69.9305    ,
       -12.937068  ,  23.175821  , -13.755631  ,  23.7831    ,
       -14.731517  ,  10.696287  , -13.47249   ,   6.080384  ,
       -14.718082  ,   1.6842011 ,  -7.2441125 ,   3.9613547 ,
        -2.6555943 ,   7.552985  ,  -0.13239107,  -0.72255474],
      dtype=float32)]",hiphop
"[array([-81.904236 ,  94.720695 , -16.211037 ,  40.537342 , -12.241579 ,
        28.193031 , -20.108301 ,  18.112103 , -14.630498 ,  14.179908 ,
        -7.2731595,  13.656333 ,  -8.495124 ,   7.8997865,  -4.828517 ,
         5.1057014,  -5.877637 ,   2.075965 ,  -5.662679 ,  -1.3687439],
      dtype=float32)]",hiphop
"[array([-88.141426  ,  77.38236   , -19.072306  ,  51.598656  ,
       -11.7594    ,  22.23447   ,  -4.727125  ,  20.125822  ,
        -8.3214035 ,  14.612495  ,  -3.8051765 ,   8.59063   ,
       -11.454931  ,   2.1611478 , -12.679551  ,   0.3943124 ,
         0.97560227,  10.530947  ,   7.629914  ,   4.391355  ],
      dtype=float32)]",hiphop
"[array([-76.79857  ,  98.390625 ,  -5.0479903,  49.339622 , -10.298393 ,
        33.28461  ,  -9.9737   ,  17.609251 , -12.237133 ,  18.658957 ,
       -10.978353 ,  11.509188 , -10.487104 ,   6.2597446,  -6.9740686,
         2.4984548,  -4.895601 ,   5.457154 ,  -1.8284396,   0.6430391],
      dtype=float32)]",hiphop
"[array([-113.53241  ,   68.488365 ,  -15.747566 ,   56.377018 ,
         -8.181871 ,   27.015606 ,  -12.3755245,   20.661098 ,
        -12.6683   ,   15.433944 ,  -10.997764 ,   14.044764 ,
        -12.50229  ,    7.403809 ,  -13.326708 ,   -0.2417693,
        -12.049074 ,    3.820072 ,   -2.6744127,    5.6393175],
      dtype=float32)]",hiphop
"[array([-64.75484  ,  88.22647  , -10.355254 ,  41.795155 ,  -2.5577855,
        22.908054 ,  -6.495011 ,  16.630516 ,  -5.802398 ,  13.089849 ,
        -6.9133754,   3.0193245,  -9.770441 ,   2.3416917,  -7.051864 ,
         3.197937 ,   1.7190007,   6.080633 ,   0.3668637,  -3.036669 ],
      dtype=float32)]",hiphop
"[array([-122.26182   ,   50.57139   ,  -27.801025  ,   66.58031   ,
         -6.6053147 ,   32.071156  ,   -8.241498  ,   22.45073   ,
         -6.943716  ,   21.067606  ,   -6.176521  ,   13.646001  ,
         -3.098721  ,    8.706402  ,   -2.9165342 ,    3.6900396 ,
          0.28579843,   12.88693   ,   14.645563  ,   15.36167   ],
      dtype=float32)]",hiphop
